english,hindi_original,hindi_simplified
non receipt of pension since year in respect of no w ex nk aloka kumar mishra amc records,पूर्व लोकुमार मिश्र ए. एम. सी. अभिलेखों के संबंध में वर्ष से पेंशन की प्राप्ति नहीं,"सिंपलिफाइड हिंदी सेंटेंस:

पुराना मालिक मिश्र ए. एम. सी. के कागजों के लिए साल से पेंशन नहीं मिल रही है।"
to cm mahoday,सी. एम. महोदय तक,मुख्यमंत्री जी तक
please find the attachement,कृपया संलग्नक ढूंढें,कृपया फ़ाइल को ढूंढें।
cm lucknow application for action,कार्रवाई के लिए सी. एम. लखनऊ आवेदन,आगे की कार्रवाई के लिए मुख्यमंत्री को लखनऊ में आवेदन दिया गया।
cm lucknow application for action,कार्रवाई के लिए सी. एम. लखनऊ आवेदन,आगे की कार्रवाई के लिए मुख्यमंत्री को लखनऊ में आवेदन दिया गया।
to c m,सी एम तक,मुख्यमंत्री तक
cm lucknow application for action,कार्रवाई के लिए सी. एम. लखनऊ आवेदन,"सरल हिंदी वाक्य:

काम करने के लिए मुख्यमंत्री को लखनऊ में आवेदन दिया गया।"
attached application,संलग्न आवेदन,"संलग्न आवेदन को यूं लिखा जा सकता है:

आवेदन पत्र नत्थी किया गया है।"
to c m,सी एम तक,मुख्यमंत्री तक
attached application,संलग्न आवेदन,"संलग्न आवेदन को यूं लिखा जा सकता है:

साथ लगा आवेदन"
